zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
7	4771075	Lynchburg	Lynchburg	37.41375	-79.14225	US	VA	65269
7	4776024	Newport News	Newport News	36.97876	-76.428	US	VA	180150
7	4778626	Petersburg	Petersburg	37.22793	-77.40193	US	VA	33740
7	4779999	Portsmouth	Portsmouth	36.83543	-76.29827	US	VA	100565
7	4782167	Roanoke	Roanoke	37.27097	-79.94143	US	VA	91168
7	5786882	Bellevue	Bellevue	47.61038	-122.20068	US	WA	111927
7	5786899	Bellingham	Bellingham	48.75955	-122.48822	US	WA	73469
7	5788054	Bremerton	Bremerton	47.56732	-122.63264	US	WA	37259
7	5793933	Everett	Everett	47.97898	-122.20208	US	WA	96993
7	5799610	Kennewick	Kennewick	46.21125	-119.13723	US	WA	62158
7	5801617	Longview	Longview	46.13817	-122.93817	US	WA	36349
7	5804127	Mount Vernon	Mount Vernon	48.42122	-122.33405	US	WA	29312
7	5806298	Pasco	Pasco	46.23958	-119.10057	US	WA	43390
7	5808276	Richland	Richland	46.28569	-119.28446	US	WA	44869
7	5814616	Vancouver	Vancouver	45.63873	-122.66149	US	WA	157517
7	5814916	Walla Walla	Walla Walla	46.06458	-118.34302	US	WA	30578
7	5815342	Wenatchee	Wenatchee	47.42346	-120.31035	US	WA	29159
7	5816605	Yakima	Yakima	46.60207	-120.5059	US	WA	88405
7	4809537	Huntington	Huntington	38.41925	-82.44515	US	WV	48518
7	4815352	Morgantown	Morgantown	39.62953	-79.9559	US	WV	28957
7	4817641	Parkersburg	Parkersburg	39.26674	-81.56151	US	WV	31564
7	5280854	Wheeling	Wheeling	40.06396	-80.72091	US	WV	29388
7	5244080	Appleton	Appleton	44.26193	-88.41538	US	WI	70112
7	5245387	Beloit	Beloit	42.50835	-89.03178	US	WI	35210
7	5251436	Eau Claire	Eau Claire	44.81135	-91.49849	US	WI	62852
7	5253352	Fond du Lac	Fond du Lac	43.775	-88.43883	US	WI	41860
7	5257754	Janesville	Janesville	42.68279	-89.01872	US	WI	61675
7	5258393	Kenosha	Kenosha	42.58474	-87.82119	US	WI	93982
7	5258957	La Crosse	La Crosse	43.80136	-91.23958	US	WI	51818
7	5261585	Manitowoc	Manitowoc	44.08861	-87.65758	US	WI	33939
7	5265838	Oshkosh	Oshkosh	44.02471	-88.54261	US	WI	63017
7	5268249	Racine	Racine	42.72613	-87.78285	US	WI	79263
7	5272893	Sheboygan	Sheboygan	43.75083	-87.71453	US	WI	48591
7	5278120	Wausau	Wausau	44.95914	-89.63012	US	WI	36779
7	5278422	West Bend	West Bend	43.42528	-88.18343	US	WI	29431
7	5820705	Casper	Casper	42.86663	-106.31308	US	WY	51507
7	5830062	Laramie	Laramie	41.31137	-105.5911	US	WY	26934
8	4830198	Anniston	Anniston	33.65983	-85.83163	US	AL	23423
8	4048023	Bessemer	Bessemer	33.40178	-86.95444	US	AL	28628
8	4057835	Cullman	Cullman	34.17482	-86.84361	US	AL	14796
8	4060791	Enterprise	Enterprise	31.31517	-85.85522	US	AL	22572
8	4067994	Hoover	Hoover	33.40539	-86.81138	US	AL	66752
8	4069659	Jasper	Jasper	33.83122	-87.27751	US	AL	13831
8	4081644	Opelika	Opelika	32.64541	-85.37828	US	AL	23625
8	4089114	Selma	Selma	32.40736	-87.0211	US	AL	18980
8	4092788	Talladega	Talladega	33.43594	-86.1058	US	AL	19408
8	5554428	Ketchikan	Ketchikan	55.34222	-131.64611	US	AK	7172
8	5293083	Douglas	Douglas	31.34455	-109.54534	US	AZ	16692
8	5306611	Nogales	Nogales	31.34038	-110.93425	US	AZ	20707
8	4100525	Batesville	Batesville	35.7698	-91.64097	US	AR	9438
8	4102412	Blytheville	Blytheville	35.9273	-89.91898	US	AR	16315
8	4104182	Camden	Camden	33.58456	-92.83433	US	AR	12218
8	4109785	El Dorado	El Dorado	33.20763	-92.66627	US	AR	20353
8	4113956	Harrison	Harrison	36.22979	-93.10768	US	AR	12468
8	4120323	Magnolia	Magnolia	33.26707	-93.23933	US	AR	10300
8	4124112	North Little Rock	North Little Rock	34.76954	-92.26709	US	AR	59078
8	4125388	Paragould	Paragould	36.0584	-90.49733	US	AR	23450
8	4129397	Russellville	Russellville	35.27842	-93.13379	US	AR	24972
8	4130430	Searcy	Searcy	35.25064	-91.73625	US	AR	20154
8	4132093	Springdale	Springdale	36.18674	-94.12881	US	AR	56402
8	5324363	Apple Valley	Apple Valley	34.50083	-117.18588	US	CA	64271
8	5326297	Barstow	Barstow	34.89859	-117.02282	US	CA	21119
8	5327684	Berkeley	Berkeley	37.87159	-122.27275	US	CA	100158
8	5336899	Chula Vista	Chula Vista	32.64005	-117.0842	US	CA	213032
8	5337561	Citrus Heights	Citrus Heights	38.70712	-121.28106	US	CA	89430
8	5338122	Clovis	Clovis	36.82523	-119.70292	US	CA	86324
8	5355933	Hayward	Hayward	37.66882	-122.0808	US	CA	140494
8	5356277	Hemet	Hemet	33.74752	-116.97197	US	CA	69039
8	5356576	Hesperia	Hesperia	34.42639	-117.30088	US	CA	73640
8	5367565	Lodi	Lodi	38.1302	-121.27245	US	CA	62778
8	5374732	Moreno Valley	Moreno Valley	33.93752	-117.23059	US	CA	168629
8	5379759	Oroville	Oroville	39.51378	-121.55636	US	CA	13197
8	5380698	Palmdale	Palmdale	34.57943	-118.11646	US	CA	135294
8	5381002	Paradise	Paradise	39.75961	-121.62192	US	CA	26949
8	5382232	Petaluma	Petaluma	38.23242	-122.63665	US	CA	55352
8	5388881	Roseville	Roseville	38.75212	-121.28801	US	CA	112647
8	5397664	South Lake Tahoe	South Lake Tahoe	38.93324	-119.98435	US	CA	23925
8	5400075	Sunnyvale	Sunnyvale	37.36883	-122.03635	US	CA	126499
8	5403783	Tulare	Tulare	36.20773	-119.34734	US	CA	50103
8	5404024	Turlock	Turlock	37.49466	-120.84659	US	CA	67940
8	5404476	Ukiah	Ukiah	39.15017	-123.20778	US	CA	15825
8	5405228	Vacaville	Vacaville	38.35658	-121.98774	US	CA	96469
8	5407529	Watsonville	Watsonville	36.91023	-121.75689	US	CA	45724
8	5420241	Durango	Durango	37.27528	-107.88007	US	CO	15022
8	5427946	Lakewood	Lakewood	39.70471	-105.08137	US	CO	140772
8	5582392	Sterling	Sterling	40.62554	-103.20771	US	CO	12682
8	4832353	Danbury	Danbury	41.39482	-73.45401	US	CT	78565
8	4838524	Meriden	Meriden	41.53815	-72.80704	US	CT	59395
8	4843564	Stamford	Stamford	41.05343	-73.53873	US	CT	117083
8	4143861	Newark	Newark	39.68372	-75.74966	US	DE	30238
8	4156042	Fort Walton Beach	Fort Walton Beach	30.40576	-86.61884	US	FL	19731
8	4161187	Lake City	Lake City	30.18968	-82.63929	US	FL	10924
8	4161771	Leesburg	Leesburg	28.81082	-81.87786	US	FL	18284
8	4164143	Miami Beach	Miami Beach	25.79065	-80.13005	US	FL	89326
8	4165565	Naples	Naples	26.14204	-81.79481	US	FL	21498
8	4167178	Ormond Beach	Ormond Beach	29.28581	-81.05589	US	FL	38455
8	4167482	Palatka	Palatka	29.64858	-81.63758	US	FL	10737
8	4170894	St. Augustine	Saint Augustine	29.89469	-81.31452	US	FL	12097
8	4174201	Stuart	Stuart	27.19755	-80.25283	US	FL	15112
8	4176380	Venice	Venice	27.09978	-82.45426	US	FL	20457
8	4176409	Vero Beach	Vero Beach	27.63864	-80.39727	US	FL	17262
8	4184845	Brunswick	Brunswick	31.14995	-81.49149	US	GA	16486
8	4186416	Carrollton	Carrollton	33.58011	-85.07661	US	GA	21353
8	4186531	Cartersville	Cartersville	34.1651	-84.79994	US	GA	17703
8	4192205	Dublin	Dublin	32.54044	-82.90375	US	GA	15894
8	4198322	Griffin	Griffin	33.24678	-84.26409	US	GA	23820
8	4209448	Milledgeville	Milledgeville	33.08014	-83.2321	US	GA	19682
8	4210397	Moultrie	Moultrie	31.17991	-83.78906	US	GA	14644
8	4219934	Roswell	Roswell	34.02316	-84.36159	US	GA	77218
8	4224413	Statesboro	Statesboro	32.44879	-81.78317	US	GA	24558
8	4226348	Thomasville	Thomasville	30.83658	-83.97878	US	GA	18528
8	4226552	Tifton	Tifton	31.45046	-83.5085	US	GA	15902
8	4229763	Waycross	Waycross	31.21355	-82.35402	US	GA	15067
8	5847411	Kahului	Kahului	20.89472	-156.47	US	HI	22315
8	5849996	Lahaina	Lahaina	20.87833	-156.6825	US	HI	9319
8	5850248	Lihue	Lihue	21.97886	-159.36719	US	HI	5853
8	5854496	Wailuku	Wailuku	20.89111	-156.50472	US	HI	13391
8	5601538	Moscow	Moscow	46.73239	-117.00017	US	ID	21865
8	4232679	Alton	Alton	38.8906	-90.18428	US	IL	30496
8	4831990	Canton	Canton	40.55809	-90.03512	US	IL	14802
8	4235587	Centralia	Centralia	38.52505	-89.1334	US	IL	13426
8	4237727	Effingham	Effingham	39.12004	-88.54338	US	IL	12616
8	4241704	Jacksonville	Jacksonville	39.73394	-90.22901	US	IL	19479
8	4900817	Macomb	Macomb	40.45921	-90.6718	US	IL	19234
8	4243899	Marion	Marion	37.73061	-88.93313	US	IL	17265
8	4244099	Mattoon	Mattoon	39.48309	-88.37283	US	IL	17711
8	4902476	Moline	Moline	41.5067	-90.51513	US	IL	42668
8	4245152	Mount Vernon	Mount Vernon	38.31727	-88.90312	US	IL	16505
8	4903780	Normal	Normal	40.5142	-88.99063	US	IL	51331
8	4246382	Olney	Olney	38.73088	-88.08532	US	IL	8501
8	4905006	Ottawa	Ottawa	41.34559	-88.84258	US	IL	18897
8	4905770	Peru	Peru	41.32753	-89.12897	US	IL	9829
8	4907907	Rock Island	Rock Island	41.50948	-90.57875	US	IL	38383
8	4912499	Sterling	Sterling	41.78864	-89.69622	US	IL	15106
8	4912698	Streator	Streator	41.12087	-88.83535	US	IL	13960
8	4914570	Urbana	Urbana	40.11059	-88.20727	US	IL	39511
8	4254282	Bedford	Bedford	38.86116	-86.48721	US	IN	13289
8	4919381	Crawfordsville	Crawfordsville	40.04115	-86.87445	US	IN	15066
8	4921100	Hammond	Hammond	41.58337	-87.50004	US	IN	78883
8	4259640	Jasper	Jasper	38.39144	-86.93111	US	IN	13850
8	4922968	Logansport	Logansport	40.75448	-86.35667	US	IN	19064
8	4260853	Madison	Madison	38.73589	-85.37996	US	IN	12004
8	4262045	New Albany	New Albany	38.28562	-85.82413	US	IN	36138
8	4262072	New Castle	New Castle	39.92894	-85.37025	US	IN	18812
8	4264688	Shelbyville	Shelbyville	39.52144	-85.77692	US	IN	17815
8	4266307	Vincennes	Vincennes	38.67727	-87.52863	US	IN	18257
8	4927854	Warsaw	Warsaw	41.2381	-85.85305	US	IN	13003
8	4266586	Washington	Washington	38.65922	-87.17279	US	IN	11271
8	4850699	Cedar Falls	Cedar Falls	42.52776	-92.44547	US	IA	36258
8	4852832	Council Bluffs	Council Bluffs	41.26194	-95.86083	US	IA	58764
8	4868404	Muscatine	Muscatine	41.42447	-91.04321	US	IA	22529
8	4870380	Ottumwa	Ottumwa	41.02001	-92.4113	US	IA	24593
8	4881346	West Des Moines	West Des Moines	41.57199	-93.74531	US	IA	55279
8	4269789	Coffeyville	Coffeyville	37.0373	-95.61637	US	KS	10150
8	4272340	Great Bend	Great Bend	38.36446	-98.76481	US	KS	14654
8	4272782	Hays	Hays	38.87918	-99.32677	US	KS	19883
8	4273680	Junction City	Junction City	39.02861	-96.8314	US	KS	17215
8	5445820	Liberal	Liberal	37.04308	-100.921	US	KS	20182
8	4277011	Parsons	Parsons	37.34034	-95.26108	US	KS	11227
8	4277241	Pittsburg	Pittsburg	37.41088	-94.70496	US	KS	19476
8	4288656	Corbin	Corbin	36.9487	-84.09688	US	KY	7996
8	4289445	Danville	Danville	37.64563	-84.77217	US	KY	15164
8	4290988	Elizabethtown	Elizabethtown	37.69395	-85.85913	US	KY	23636
8	4292826	Glasgow	Glasgow	36.99588	-85.91192	US	KY	13972
8	4299670	Madisonville	Madisonville	37.3281	-87.49889	US	KY	19423
8	4300105	Mayfield	Mayfield	36.74172	-88.63672	US	KY	10153
8	4300152	Maysville	Maysville	38.64119	-83.74436	US	KY	8923
8	4300717	Middlesboro	Middlesboro	36.60842	-83.71658	US	KY	10730
8	4302035	Murray	Murray	36.61033	-88.31476	US	KY	15626
8	4304232	Pikeville	Pikeville	37.47927	-82.51876	US	KY	6217
8	4308922	Somerset	Somerset	37.09202	-84.60411	US	KY	12142
8	4317639	Bossier City	Bossier City	32.51599	-93.73212	US	LA	59580
8	4326868	Hammond	Hammond	30.50436	-90.4612	US	LA	17812
8	4333811	Morgan City	Morgan City	29.69937	-91.20677	US	LA	12162
8	4336153	Opelousas	Opelousas	30.53353	-92.08151	US	LA	22835
8	4339348	Ruston	Ruston	32.52321	-92.63793	US	LA	20686
8	4343429	Thibodaux	Thibodaux	29.79576	-90.82287	US	LA	14410
8	4956976	Auburn	Auburn	44.09785	-70.23117	US	ME	23488
8	4958141	Biddeford	Biddeford	43.49258	-70.45338	US	ME	21885
8	4959473	Brunswick	Brunswick	43.91452	-69.96533	US	ME	24206
8	4975966	Presque Isle	Presque Isle	46.68115	-68.01586	US	ME	9466
8	4982236	Waterville	Waterville	44.55201	-69.63171	US	ME	15906
8	4352681	Cumberland	Cumberland	39.65287	-78.76252	US	MD	20347
8	4353962	Easton	Easton	38.77428	-76.07633	US	MD	13094
8	4368711	Salisbury	Salisbury	38.36067	-75.59937	US	MD	26352
8	4931972	Cambridge	Cambridge	42.3751	-71.10561	US	MA	101382
8	4936174	Falmouth	Falmouth	41.5515	-70.61475	US	MA	59431
8	4936812	Fitchburg	Fitchburg	42.58342	-71.8023	US	MA	40363
8	4938378	Greenfield	Greenfield	42.58759	-72.59953	US	MA	19753
8	4939783	Holyoke	Holyoke	42.20426	-72.6162	US	MA	40141
8	4940190	Hyannis	Hyannis	41.65289	-70.2828	US	MA	14120
8	4941873	Leominster	Leominster	42.52509	-71.75979	US	MA	42301
8	4945486	North Adams	North Adams	42.70092	-73.10871	US	MA	14106
8	4983811	Adrian	Adrian	41.89755	-84.03717	US	MI	22704
8	4984075	Alpena	Alpena	45.06168	-83.43275	US	MI	10718
8	4985711	Benton Harbor	Benton Harbor	42.11671	-86.45419	US	MI	10893
8	4987617	Cadillac	Cadillac	44.25195	-85.40116	US	MI	10258
8	4990510	Dearborn	Dearborn	42.32226	-83.17631	US	MI	95170
8	4991640	East Lansing	East Lansing	42.73698	-84.48387	US	MI	48371
8	4992232	Escanaba	Escanaba	45.74525	-87.06458	US	MI	12622
8	4994325	Grand Haven	Grand Haven	43.06307	-86.22839	US	MI	10644
8	4996572	Houghton	Houghton	47.12187	-88.56901	US	MI	7160
8	4997232	Iron Mountain	Iron Mountain	45.82023	-88.06596	US	MI	7839
8	4997249	Ironwood	Ironwood	46.45467	-90.17101	US	MI	5736
8	5001669	Menominee	Menominee	45.10776	-87.61427	US	MI	8661
8	5002344	Monroe	Monroe	41.91643	-83.39771	US	MI	21076
8	5004792	Owosso	Owosso	42.9978	-84.17664	US	MI	15373
8	5005484	Petoskey	Petoskey	45.37334	-84.95533	US	MI	6181
8	5006250	Portage	Portage	42.20115	-85.58	US	MI	46403
8	5012495	Traverse City	Traverse City	44.76306	-85.62063	US	MI	14425
