zoom,name,abbreviation,ISO alpha 2,ISO alpha 3,ISO numeric,land area km,population,latitude,longitude,continent
3,Australia,Austl.,AU,AUS,36,7686850,21515754,-25.00,135.00,ocean
3,New Zealand,N.Z.,NZ,NZL,554,268680,4252277,-42.00,174.00,ocean
